ONTOLOGY	TERM	N	DE	P.DE	FDR
BP	positive regulation of biological process	6118	126	0.00140495659891521	0.151921752421087
BP	myeloid leukocyte activation	230	11	0.00142809034239634	0.152621624013627
BP	multicellular organismal signaling	163	9	0.00143149664879541	0.152621624013627
BP	negative regulation of response to stimulus	1645	43	0.00143064472210762	0.152621624013627
BP	adult locomotory behavior	76	6	0.0014841695493809	0.157501453203137
BP	negative regulation of cilium movement	4	2	0.00154518587420655	0.158093995093707
BP	regulation of cytolysis	4	2	0.00154518587420655	0.158093995093707
BP	negative regulation of flagellated sperm motility	4	2	0.00154518587420655	0.158093995093707
BP	positive regulation of superoxide dismutase activity	4	2	0.00154518587420655	0.158093995093707
BP	negative regulation of cilium-dependent cell motility	4	2	0.00154518587420655	0.158093995093707
BP	regulation of membrane potential	424	16	0.00168391682808184	0.167630295479372
BP	cellular response to cAMP	53	5	0.00166791731726826	0.167630295479372
BP	cellular response to xenobiotic stimulus	167	9	0.00169227946441875	0.167630295479372
BP	negative regulation of tumor necrosis factor superfamily cytokine production	78	6	0.00169716857712723	0.167630295479372
BP	positive regulation of ion transmembrane transporter activity	106	7	0.00173850995823734	0.170973462099755
BP	negative regulation of neuron projection development	136	8	0.00174764693127955	0.171134387914481
BP	regulation of microtubule-based movement	54	5	0.00181399060653367	0.176871836233642
BP	wound healing	428	16	0.00185117633755524	0.178967963210425
BP	protein maturation	311	13	0.00185038238279728	0.178967963210425
BP	myelination	138	8	0.00191611312770462	0.183689231603817
BP	regulation of neutrophil chemotaxis	33	4	0.00193275399230419	0.184509268152353
BP	negative regulation of organelle organization	352	14	0.00199352273389682	0.189517561235791
BP	response to wounding	556	19	0.0020287445358941	0.190389251727503
BP	protein processing	241	11	0.00206356215812307	0.191391195933886
BP	response to molecule of bacterial origin	354	14	0.00209969261005789	0.192395930084662
BP	ensheathment of neurons	140	8	0.00209712758431218	0.192395930084662
BP	axon ensheathment	140	8	0.00209712758431218	0.192395930084662
BP	inflammatory response	821	25	0.00211832325049352	0.192751533383255
BP	response to bacterium	645	21	0.00216096330236334	0.192751533383255
BP	regulation of signal transduction	2971	68	0.00214924226403245	0.192751533383255
BP	regulation of cell communication	3346	75	0.00216147531483375	0.192751533383255
BP	receptor clustering	56	5	0.00213392158124486	0.192751533383255
BP	cell-cell signaling involved in cardiac conduction	34	4	0.00216271005198603	0.192751533383255
BP	negative regulation of immune effector process	112	7	0.00237983014752262	0.211277060878896
BP	regulation of proteolysis	739	23	0.00240242213393904	0.212456059720748
BP	sodium ion transmembrane transport	176	9	0.00241893916435645	0.213090795266242
BP	regulation of signaling	3362	75	0.00245065548875645	0.215054444736412
BP	satellite cell activation involved in skeletal muscle regeneration	5	2	0.00254763627947669	0.221858279971527
BP	branch elongation involved in ureteric bud branching	5	2	0.00254763627947669	0.221858279971527
BP	cell population proliferation	2000	49	0.00256159533931665	0.222225700615394
BP	regulation of growth	658	21	0.00273236439555665	0.236142522912957
BP	regulation of immune system process	1358	36	0.00276656092187383	0.236311454328378
BP	glial cell development	115	7	0.00276201672415695	0.236311454328378
BP	negative regulation of nitrogen compound metabolic process	2421	57	0.00276864593659119	0.236311454328378
BP	positive regulation of hydrolase activity	572	19	0.00277574814866783	0.236311454328378
BP	regulation of leukocyte migration	215	10	0.0028348619618023	0.239556335261042
BP	apoptotic process	1859	46	0.00287571522603236	0.242111876742267
BP	hepatocyte apoptotic process	18	3	0.00289471379368611	0.24281540410567
BP	primary metabolic process	10376	196	0.00292234819248552	0.24423551780128
BP	programmed cell death	1913	47	0.00297106425259021	0.247373731438095
BP	regulation of apoptotic signaling pathway	368	14	0.00298158205406189	0.247373731438095
BP	regulation of myeloid leukocyte differentiation	117	7	0.00304182372649295	0.248753584744312
BP	inorganic anion transport	182	9	0.00302751133505915	0.248753584744312
BP	monocarboxylic acid transport	117	7	0.00304182372649295	0.248753584744312
BP	positive regulation of transporter activity	117	7	0.00304182372649295	0.248753584744312
BP	response to organic substance	3016	68	0.00310499558199338	0.250852491276815
BP	heterotypic cell-cell adhesion	61	5	0.00311146805011127	0.250852491276815
BP	regulation of membrane repolarization	38	4	0.00327142858986313	0.262820122205342
BP	leukocyte migration involved in inflammatory response	19	3	0.00339640926935503	0.270952705907708
BP	granulocyte migration	152	8	0.00348336986504622	0.27692183568256
BP	inorganic anion transmembrane transport	90	6	0.00349869114556037	0.277174087420505
BP	response to tumor cell	39	4	0.00359926565456049	0.283175328187766
BP	cardiac muscle cell membrane repolarization	39	4	0.00359926565456049	0.283175328187766
BP	regulation of metabolic process	7027	139	0.00362830955845502	0.283505174266129
BP	neurogenesis	1629	41	0.00361698466356985	0.283505174266129
BP	regulation of apoptotic process	1431	37	0.00365909080857209	0.284934525216317
BP	negative regulation of Schwann cell proliferation	6	2	0.00378044525758908	0.286560262449011
BP	negative regulation of ion transport	154	8	0.00377080901237262	0.286560262449011
BP	negative regulation of B cell differentiation	6	2	0.00378044525758908	0.286560262449011
BP	negative regulation of cyclic-nucleotide phosphodiesterase activity	6	2	0.00378044525758908	0.286560262449011
BP	cellular response to oxygen-containing compound	1188	32	0.00370917498307678	0.286560262449011
BP	positive regulation of ATPase-coupled calcium transmembrane transporter activity	6	2	0.00378044525758908	0.286560262449011
BP	regulation of T-helper 17 cell lineage commitment	6	2	0.00378044525758908	0.286560262449011
BP	regulation of osteoclast differentiation	64	5	0.00383333574901396	0.289607246521531
BP	leukocyte migration	380	14	0.00396079505078468	0.297268091706261
BP	positive regulation of leukocyte differentiation	156	8	0.00407625107400235	0.303933805570058
BP	positive regulation of hemopoiesis	156	8	0.00407625107400235	0.303933805570058
BP	macromolecule metabolic process	9906	187	0.00426230263906342	0.316771000041925
BP	thyroid hormone generation	21	3	0.00455116389729276	0.337140764547505
BP	movement of cell or subcellular component	2165	51	0.00460113374153192	0.33973937685046
BP	necroptotic process	42	4	0.00471496114712286	0.344796645938318
BP	cell activation	1017	28	0.00483872963248008	0.352717109567621
BP	regulation of response to external stimulus	971	27	0.00493605706112585	0.357527231449675
BP	water transport	22	3	0.00520697396387481	0.362483804450809
BP	negative regulation of ATP-dependent activity	22	3	0.00520697396387481	0.362483804450809
BP	snRNA modification	7	2	0.00523590306512445	0.362483804450809
BP	regulation of programmed cell death	1463	37	0.00521171056811231	0.362483804450809
BP	positive regulation of ion transport	271	11	0.00502207854957589	0.362483804450809
BP	regulation of inflammatory response	392	14	0.00518710735684953	0.362483804450809
BP	protein localization to membrane	563	18	0.00524279696128887	0.362483804450809
BP	membrane repolarization during atrial cardiac muscle cell action potential	7	2	0.00523590306512445	0.362483804450809
BP	regulation of hepatocyte apoptotic process	7	2	0.00523590306512445	0.362483804450809
BP	regulation of membrane repolarization during cardiac muscle cell action potential	7	2	0.00523590306512445	0.362483804450809
BP	regulation of entry of bacterium into host cell	7	2	0.00523590306512445	0.362483804450809
BP	regulation of cell population proliferation	1716	42	0.00526129443698449	0.362663727716731
BP	circadian regulation of gene expression	69	5	0.00529111099760172	0.363620447353255
BP	regulation of organelle organization	1124	30	0.00555614888289234	0.377461765508077
BP	response to lipid	885	25	0.00552996162088177	0.377461765508077
BP	positive regulation of potassium ion transmembrane transport	44	4	0.00557523733240804	0.377461765508077
BP	positive regulation of transport	887	25	0.0056855235053878	0.382657534805098
BP	negative regulation of cellular metabolic process	2561	58	0.00582020993054902	0.388286285893001
BP	tissue regeneration	71	5	0.00597107865124103	0.396035263100917
BP	regulation of ATP-dependent activity	71	5	0.00597107865124103	0.396035263100917
BP	nitrogen compound metabolic process	9857	185	0.0060511955960584	0.400185735419329
BP	regulation of metal ion transport	400	14	0.00616273272028603	0.404312639987592
BP	cellular component morphogenesis	753	22	0.00616676011201272	0.404312639987592
BP	positive regulation of apoptotic process	528	17	0.00613900257067699	0.404312639987592
BP	liver development	134	7	0.0063794457590495	0.415866955538496
BP	endodermal cell fate specification	8	2	0.00690648854007463	0.416874186588208
BP	regulation of cytokine production	806	23	0.00679265043266823	0.416874186588208
BP	regulation of immunoglobulin production	73	5	0.00671029120142656	0.416874186588208
BP	potassium ion transport	242	10	0.00647355129181467	0.416874186588208
BP	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	243	10	0.00665693804056414	0.416874186588208
BP	circadian rhythm	205	9	0.00655056355342905	0.416874186588208
BP	skeletal muscle satellite cell activation	8	2	0.00690648854007463	0.416874186588208
BP	regulation of phosphate metabolic process	1387	35	0.00673716124355429	0.416874186588208
BP	neuronal action potential propagation	8	2	0.00690648854007463	0.416874186588208
BP	protein metabolic process	5349	108	0.00669609711271631	0.416874186588208
BP	adult behavior	136	7	0.00690242664303948	0.416874186588208
BP	killing of cells of another organism	46	4	0.0065343477241947	0.416874186588208
BP	granulocyte activation	46	4	0.0065343477241947	0.416874186588208
BP	regulation of myeloid cell differentiation	205	9	0.00655056355342905	0.416874186588208
BP	positive regulation of osteoclast differentiation	24	3	0.00668153216589648	0.416874186588208
BP	hematopoietic or lymphoid organ development	896	25	0.00643132382998001	0.416874186588208
BP	regulation of phosphorus metabolic process	1389	35	0.00688292716781792	0.416874186588208
BP	sulfation	24	3	0.00668153216589648	0.416874186588208
BP	regulation of ventricular cardiac muscle cell membrane repolarization	24	3	0.00668153216589648	0.416874186588208
BP	regulation of atrial cardiac muscle cell membrane repolarization	8	2	0.00690648854007463	0.416874186588208
BP	membrane repolarization during cardiac muscle cell action potential	24	3	0.00668153216589648	0.416874186588208
BP	positive regulation of neutrophil chemotaxis	24	3	0.00668153216589648	0.416874186588208
BP	action potential propagation	8	2	0.00690648854007463	0.416874186588208
BP	negative regulation of anion transport	24	3	0.00668153216589648	0.416874186588208
BP	hemopoiesis	856	24	0.00709349244073423	0.42313310839523
BP	regulation of toll-like receptor signaling pathway	74	5	0.00710290938443957	0.42313310839523
BP	embryonic organ development	449	15	0.00706730278185999	0.42313310839523
BP	regulation of macromolecule metabolic process	6510	128	0.00705511163314588	0.42313310839523
BP	cilium movement involved in cell motility	137	7	0.00717553841980355	0.425239180743475
BP	hepaticobiliary system development	137	7	0.00717553841980355	0.425239180743475
BP	response to xenobiotic stimulus	408	14	0.00728029314471916	0.429217489379619
BP	cell migration	1547	38	0.00739440242724725	0.432591502000188
BP	neutrophil chemotaxis	105	6	0.0073924916982512	0.432591502000188
BP	immune system development	955	26	0.00747777102310815	0.434453921926445
BP	positive regulation of leukocyte migration	138	7	0.00745657641251114	0.434453921926445
BP	regulation of heterotypic cell-cell adhesion	25	3	0.00750240380605801	0.434453921926445
BP	modulation of process of another organism	25	3	0.00750240380605801	0.434453921926445
BP	apoptotic mitochondrial changes	106	6	0.00773173060265203	0.445472639975022
BP	positive regulation of endopeptidase activity	174	8	0.00775836876571792	0.445881465386953
BP	cell death	2070	48	0.00790326818663493	0.449322801099627
BP	negative regulation of tumor necrosis factor production	76	5	0.00793573132814394	0.449322801099627
BP	positive regulation of programmed cell death	542	17	0.00786909869437412	0.449322801099627
BP	regulation of developmental growth	329	12	0.00793640817159668	0.449322801099627
BP	positive regulation of developmental process	1302	33	0.00790084623911011	0.449322801099627
BP	protein dephosphorylation	289	11	0.00799508124048548	0.451524192036923
BP	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	49	4	0.00816828337133264	0.457905536610136
BP	programmed necrotic cell death	49	4	0.00816828337133264	0.457905536610136
BP	apoptotic signaling pathway	589	18	0.00819065518944075	0.458034286280099
BP	cytokine production	820	23	0.00826258404001816	0.45980272550501
BP	phosphate-containing compound metabolic process	2713	60	0.00825668590639703	0.45980272550501
BP	xenobiotic metabolic process	108	6	0.00844362476294073	0.467596462600135
BP	regulation of leukocyte proliferation	252	10	0.00849469596332557	0.469285673363768
BP	regulation of Schwann cell proliferation	9	2	0.00878486503517072	0.474965593939467
BP	entry of bacterium into host cell	9	2	0.00878486503517072	0.474965593939467
BP	ureteric bud elongation	9	2	0.00878486503517072	0.474965593939467
BP	negative regulation of oxidative phosphorylation	9	2	0.00878486503517072	0.474965593939467
BP	potassium ion import across plasma membrane	50	4	0.00876715224479523	0.474965593939467
BP	positive regulation of chemokine (C-X-C motif) ligand 2 production	9	2	0.00878486503517072	0.474965593939467
BP	negative regulation of protein-containing complex assembly	143	7	0.00898533958483276	0.483512990489491
BP	localization within membrane	640	19	0.0089714531598411	0.483512990489491
BP	regulation of leukocyte activation	550	17	0.00902167784682483	0.48432612177213
BP	leukocyte differentiation	551	17	0.00917478230453344	0.49138927948412
BP	Notch signaling pathway	180	8	0.00941865962348634	0.492881050388679
BP	protein autoprocessing	27	3	0.00931592191336352	0.492881050388679
BP	regulation of anatomical structure morphogenesis	973	26	0.00938027923841867	0.492881050388679
BP	positive regulation of potassium ion transport	51	4	0.00939398253387369	0.492881050388679
BP	leukocyte activation	876	24	0.00927110552201619	0.492881050388679
BP	regulation of lymphocyte differentiation	180	8	0.00941865962348634	0.492881050388679
BP	positive regulation of inflammatory response	144	7	0.00931673972280723	0.492881050388679
BP	regulation of granulocyte chemotaxis	51	4	0.00939398253387369	0.492881050388679
BP	positive regulation of granulocyte chemotaxis	27	3	0.00931592191336352	0.492881050388679
BP	membrane repolarization	51	4	0.00939398253387369	0.492881050388679
BP	nucleosome assembly	111	6	0.00959789947260559	0.499198680634556
BP	phosphorus metabolic process	2733	60	0.00957660252048476	0.499198680634556
BP	potassium ion transmembrane transport	218	9	0.00960502370260212	0.499198680634556
BP	negative regulation of cell communication	1371	34	0.00964670764112001	0.500225639863168
BP	tumor necrosis factor production	181	8	0.00971924607627209	0.500574082339106
BP	regulation of tumor necrosis factor production	181	8	0.00971924607627209	0.500574082339106
BP	cell development	2094	48	0.00968104371251324	0.500574082339106
BP	generation of neurons	1423	35	0.00979466149537465	0.503322064591144
BP	positive regulation of cell death	601	18	0.00994184090104169	0.509737173029589
BP	negative regulation of immune system process	424	14	0.00999717588108117	0.511425033414233
BP	regulation of cell activation	602	18	0.0101003304953069	0.515546175796249
BP	negative regulation of signaling	1376	34	0.010153618842019	0.517109302454254
BP	maltose catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	cell morphogenesis involved in differentiation	711	20	0.012892478458616	0.517672155853932
BP	cilium or flagellum-dependent cell motility	150	7	0.0114957689815208	0.517672155853932
BP	luteinization	12	2	0.0155960587680964	0.517672155853932
BP	cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	regulation of cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	negative regulation of cytolysis by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	killing by symbiont of host cells	1	1	0.0162427340561485	0.517672155853932
BP	toll-like receptor signaling pathway	121	6	0.0142554469683068	0.517672155853932
BP	antigen sampling in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	antigen sampling by M cells in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	antigen transcytosis by M cells in mucosal-associated lymphoid tissue	1	1	0.0162427340561485	0.517672155853932
BP	IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor	1	1	0.0162427340561485	0.517672155853932
BP	immune complex clearance by erythrocytes	1	1	0.0162427340561485	0.517672155853932
BP	positive regulation of immune system process	840	23	0.0108040383213647	0.517672155853932
BP	positive regulation of leukocyte activation	342	12	0.0105826075929646	0.517672155853932
BP	positive regulation of myeloid leukocyte differentiation	55	4	0.0121903634699452	0.517672155853932
BP	developmental process involved in reproduction	996	26	0.0123696711211688	0.517672155853932
BP	sinoatrial node development	11	2	0.0131365432415751	0.517672155853932
BP	sinus venosus development	1	1	0.0162427340561485	0.517672155853932
BP	sinus venosus morphogenesis	1	1	0.0162427340561485	0.517672155853932
BP	cardioblast anterior-lateral migration	1	1	0.0162427340561485	0.517672155853932
BP	cardioblast migration	1	1	0.0162427340561485	0.517672155853932
BP	cell migration to the midline involved in heart development	1	1	0.0162427340561485	0.517672155853932
BP	starch metabolic process	1	1	0.0162427340561485	0.517672155853932
BP	starch catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	disaccharide metabolic process	10	2	0.010863876433034	0.517672155853932
BP	xylulose catabolic process	1	1	0.0162427340561485	0.517672155853932
BP	N-acetylneuraminate metabolic process	11	2	0.0131365432415751	0.517672155853932
BP	ethanol catabolic process	12	2	0.0155960587680964	0.517672155853932
BP	DNA replication-dependent chromatin assembly	30	3	0.0124767204676702	0.517672155853932
BP	termination of RNA polymerase III transcription	1	1	0.0162427340561485	0.517672155853932
BP	complement activation	59	4	0.0154698545950028	0.517672155853932
BP	gamete generation	724	20	0.0154000378444644	0.517672155853932
BP	mesodermal cell fate specification	12	2	0.0155960587680964	0.517672155853932
